Week,Phase,Team Member,Tasks,Deliverables,Priority
Week 1,Foundation,Backend Lead,"• Django 5.x + DRF setup
• PostgreSQL + Redis Docker setup
• Custom User model creation
• JWT auth research
• Gmail OAuth flow planning","• Django project structure with requirements.txt
• docker-compose.yml and .env.example
• User model with migrations
• Authentication architecture document",Critical
Week 1,Foundation,Backend Dev 2,"• Complete database ERD design
• All models planning (Email/Thread/Category/Rule/Task/Calendar)
• Model relationships documentation
• Initial migration files","• ERD diagram (dbdiagram.io link)
• models.py stubs for all apps
• Schema documentation (Markdown)
• Migration files for all models",Critical
Week 1,Foundation,Frontend Dev 1,"• React + Vite + TypeScript setup
• React Router v6 configuration
• Axios API client with interceptors
• Auth context (login/logout logic)
• Login/Register pages UI","• React project structure with package.json
• Router setup with /login, /register, /dashboard routes
• services/api.ts with auth interceptors
• Auth context provider and token utilities
• Login.tsx and Register.tsx components",Critical
Week 1,Foundation,Frontend Dev 2,"• Tailwind CSS + shadcn/ui setup
• Three-panel layout shell
• Responsive breakpoints
• Theme tokens (light/dark)
• Lucide React icons integration","• tailwind.config.js with shadcn components
• Layout.tsx with sidebar/main/detail panels
• Theme configuration with CSS variables
• Reusable UI components (Button/Input/Card)
• Icon system documentation",Critical
Week 1,Foundation,AI Developer,"• OpenAI API key setup and testing
• Email categorization prompt engineering
• Test script for GPT-4 categorization
• Token cost analysis
• AI service architecture planning","• Working OpenAI connection with test script
• Categorization prompt templates
• Cost projection document
• AI integration spec document to share with backend team",High
Week 2,Foundation,Backend Lead,"• Finalize User model with all required fields
• JWT login and register endpoints (/api/auth/login, /register)
• Token refresh logic implementation
• Email and EmailThread models finalized
• Swagger/OpenAPI documentation setup","• Complete User model migrated to database
• Auth endpoints working and tested
• Token refresh endpoint with middleware
• Email/EmailThread models in database
• Swagger UI live at /api/docs/",Critical
Week 2,Foundation,Backend Dev 2,"• Rule model with priority and conditions
• AI interaction logging model
• Task model with priority/status/due_date
• CalendarEvent model for multi-provider events
• Run all migrations and verify schema
• Create sample data seeding script","• All models in PostgreSQL database
• Admin panel configured for all models
• Sample data seeding script for testing
• Database schema fully operational",Critical
Week 2,Foundation,Frontend Dev 1,"• OAuth callback page (/auth/callback)
• Protected route wrapper component
• API interceptor for automatic token refresh
• Global error handling utilities
• Reusable loading state components","• Complete OAuth callback handling
• ProtectedRoute component with redirect logic
• Axios interceptor handling 401 responses
• Error handling utilities with toast system
• Loading spinner and skeleton components",Critical
Week 2,Foundation,Frontend Dev 2,"• Sidebar navigation with folders/categories
• Panel collapse and expand functionality
• Panel resize with drag handles
• Email list skeleton component
• Email detail skeleton component","• Sidebar.tsx with collapsible sections
• Collapsible panel controls working
• Resizable panels with localStorage persistence
• EmailList.tsx and EmailDetail.tsx skeleton structures",Critical
Week 2,Foundation,AI Developer,"• Django AI service module skeleton
• OpenAI client wrapper with error handling
• Email categorization function
• Email summarization function
• Unit tests for AI functions
• Cost tracking helper functions","• ai/services/ directory structure created
• openai_service.py with retry logic
• categorize_email() and summarize_email() functions
• Test suite for AI services
• Token usage tracking utilities",High
